year,dayAndNight,week,death,casualty,injuredPerson,location,accKind,violationLaw,roadKind,perpetrator,victim,Count
2018,Night,Tue,1,1,0,Gyeonggi,Car and Car,Violation of drivers laws,singleroad,자전거,a car,1
2018,Day,Sat,1,1,0,Gyeonggi,Only Car,Violation of drivers laws,singleroad,a two-wheeled car,none,1
2018,Night,Thu,1,1,0,Gyeonggi,Only Car,Violation of drivers laws,singleroad,a two-wheeled car,none,1
2018,Day,Tue,1,1,0,Gyeonggi,Car and Car,Violation of drivers laws,crossroad,a freight car,a freight car,1
2018,Day,Fri,1,1,0,Gyeonggi,Only Car,Violation of drivers laws,singleroad,원동기장치자전거,none,1
2018,Day,Fri,1,2,1,Gyeonggi,Only Car,Violation of drivers laws,singleroad,a car,none,1
2018,Day,Tue,1,2,1,Gyeonggi,Car and Car,Violation of drivers laws,crossroad,a freight car,a car,1
2018,Day,Thu,1,1,0,Gyeonggi,Car and Car,Violation of drivers laws,singleroad,special car,a freight car,1
2018,Day,Sat,1,2,1,Gyeonggi,Car and People,Violation of drivers laws,crossroad,a car,Pedestrian,1
2018,Day,Tue,1,1,0,Gyeonggi,Car and People,Violation of drivers laws,singleroad,a freight car,Pedestrian,1
2018,Day,Sun,1,1,0,Gyeonggi,Only Car,Violation of drivers laws,singleroad,a two-wheeled car,none,1
2018,Night,Fri,1,1,0,Gyeonggi,Car and Car,Violation of drivers laws,crossroad,a car,a two-wheeled car,1
2018,Day,Wed,1,1,0,Gyeonggi,Car and People,Violation of drivers laws,crossroad,a car,Pedestrian,1
2018,Day,Mon,1,4,3,Gyeonggi,Car and Car,Violation of drivers laws,crossroad,a van,a car,1
2018,Night,Sat,1,1,0,Gyeonggi,Car and Car,Violation of drivers laws,singleroad,a car,a freight car,1
2018,Night,Tue,1,1,0,Gyeonggi,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Night,Wed,1,1,0,Gyeonggi,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Night,Tue,1,1,0,Gyeonggi,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Day,Thu,1,1,0,Gyeonggi,Car and People,Violation of drivers laws,singleroad,a van,Pedestrian,1
2018,Day,Mon,1,1,0,Gyeonggi,Car and People,Violation of drivers laws,crossroad,a car,Pedestrian,1
2018,Day,Sat,1,2,1,Gyeonggi,Car and Car,Violation of drivers laws,singleroad,a car,a car,1
2018,Day,Wed,1,2,1,Gyeonggi,Car and Car,Violation of drivers laws,crossroad,자전거,a car,1
2018,Night,Wed,1,1,0,Gyeonggi,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Day,Sat,1,1,0,Gyeonggi,Car and Car,Violation of drivers laws,crossroad,a car,a two-wheeled car,1
2018,Day,Fri,1,2,1,Gyeonggi,Car and Car,Violation of drivers laws,singleroad,a freight car,a freight car,1
2018,Day,Fri,1,3,2,Gyeonggi,Car and Car,Violation of drivers laws,singleroad,a car,a car,1
2018,Night,Tue,2,2,0,Gyeonggi,Car and Car,Violation of drivers laws,singleroad,a two-wheeled car,a car,1
2018,Day,Thu,1,1,0,Gyeonggi,Only Car,Violation of drivers laws,singleroad,a freight car,none,1
2018,Day,Sun,1,2,1,Gyeonggi,Only Car,Violation of drivers laws,singleroad,a car,none,1
2018,Day,Sun,1,1,0,Gyeonggi,Car and Car,Violation of drivers laws,crossroad,a car,a two-wheeled car,1
2018,Day,Tue,1,1,0,Gyeonggi,Car and People,Violation of drivers laws,singleroad,a freight car,Pedestrian,1
2018,Night,Fri,1,1,0,Gyeonggi,Car and People,Violation of drivers laws,crossroad,a car,Pedestrian,1
2018,Day,Wed,1,1,0,Gyeonggi,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Day,Thu,1,1,0,Gyeonggi,Car and People,Violation of drivers laws,crossroad,a car,Pedestrian,1
2018,Night,Sun,1,1,0,Gyeonggi,Car and People,Violation of drivers laws,singleroad,a van,Pedestrian,1
2018,Night,Sun,1,1,0,Gangwon,Only Car,Violation of drivers laws,singleroad,자전거,none,1
2018,Day,Sun,1,1,0,Gangwon,Car and People,Violation of drivers laws,crossroad,a freight car,Pedestrian,1
2018,Day,Sun,1,1,0,Gangwon,Car and Car,Violation of drivers laws,singleroad,자전거,a car,1
2018,Day,Mon,1,1,0,Gangwon,Car and Car,Violation of drivers laws,singleroad,a car,농기계,1
2018,Day,Wed,1,1,0,Gangwon,Only Car,Violation of drivers laws,singleroad,a car,none,1
2018,Day,Wed,1,2,1,Gangwon,Car and Car,Violation of drivers laws,crossroad,a freight car,a two-wheeled car,1
2018,Day,Tue,2,2,0,Gangwon,Only Car,Violation of drivers laws,singleroad,a freight car,none,1
2018,Day,Sat,1,1,0,Gangwon,Car and People,Violation of drivers laws,singleroad,a car,Pedestrian,1
2018,Day,Sun,1,1,0,Gangwon,Car and Car,Violation of drivers laws,singleroad,자전거,a freight car,1
2018,Day,Sat,2,8,6,Gangwon,Car and Car,Violation of drivers laws,singleroad,a car,a car,1
2018,Day,Wed,1,1,0,Gangwon,Only Car,Violation of drivers laws,singleroad,a two-wheeled car,none,1
2018,Night,Tue,2,2,0,Gangwon,Only Car,Violation of drivers laws,singleroad,a car,none,1
2018,Day,Fri,1,1,0,Gangwon,Only Car,Violation of drivers laws,singleroad,사륜오토바이(ATV),none,1
2018,Night,Sun,1,1,0,Gangwon,Only Car,Violation of drivers laws,singleroad,a freight car,none,1
2018,Night,Sat,1,1,0,Gangwon,Only Car,Violation of drivers laws,singleroad,a two-wheeled car,none,1
2018,Night,Tue,1,1,0,Gangwon,Car and People,Violation of drivers laws,crossroad,a car,Pedestrian,1
2018,Day,Sat,1,1,0,Gangwon,Only Car,Violation of drivers laws,singleroad,a two-wheeled car,none,1
